country name,province,confirmed,death
Afghanistan,,175525,7636
Albania,,272412,3483
Algeria,,265346,6860
Andorra,,38794,152
Angola,,98855,1900
Antarctica,,11,0
Antigua and Barbuda,,7461,135
Argentina,,8955458,126955
Armenia,,421592,8560
Australia,Australian Capital Territory,57278,34
Australia,New South Wales,1421796,1964
Australia,Northern Territory,43986,31
Australia,Queensland,612629,615
Australia,South Australia,170346,219
Australia,Tasmania,54555,26
Australia,Victoria,1105776,2619
Australia,Western Australia,29839,12
Austria,,2972647,15113
Azerbaijan,,789883,9558
Bahamas,,33180,771
Bahrain,,532265,1462
Bangladesh,,1948471,29097
Barbados,,56551,323
Belarus,,934187,6608
Belgium,Antwerp,547514,0
Belgium,Brussels,415235,0
Belgium,East Flanders,463641,0
Belgium,Flemish Brabant,334041,0
Belgium,Hainaut,419566,0
Belgium,Liege,348523,0
Belgium,Limburg,257470,0
Belgium,Luxembourg,94955,0
Belgium,Namur,162813,0
Belgium,Unknown,53288,30313
Belgium,Walloon Brabant,136593,0
Belgium,West Flanders,375483,0
Belize,,56976,652
Benin,,26575,163
Bhutan,,15946,7
Bolivia,,896315,21470
Bosnia and Herzegovina,,372817,15599
Botswana,,263950,2619
Brazil,Acre,123060,1985
Brazil,Alagoas,293873,6770
Brazil,Amapa,160169,2116
Brazil,Amazonas,576542,14134
Brazil,Bahia,1512970,29418
Brazil,Ceara,1232276,26504
Brazil,Distrito Federal,687012,11488
Brazil,Espirito Santo,1029872,14208
Brazil,Goias,1199520,25925
Brazil,Maranhao,417031,10838
Brazil,Mato Grosso,714295,14779
Brazil,Mato Grosso do Sul,510376,10423
Brazil,Minas Gerais,3249737,60079
Brazil,Para,729850,17926
Brazil,Paraiba,583564,10142
Brazil,Parana,2369525,42587
Brazil,Pernambuco,855083,21177
Brazil,Piaui,366202,7691
Brazil,Rio Grande do Norte,482421,8079
Brazil,Rio Grande do Sul,2197750,38606
Brazil,Rio de Janeiro,2022417,72067
Brazil,Rondonia,382076,7107
Brazil,Roraima,154258,2137
Brazil,Santa Catarina,1638500,21518
Brazil,Sao Paulo,5087770,165667
Brazil,Sergipe,321838,6276
Brazil,Tocantins,300114,4120
Brunei,,100173,155
Bulgaria,,1107888,35995
Burkina Faso,,20751,375
Burma,,602321,19398
Burundi,,38209,38
Cabo Verde,,55904,401
Cambodia,,133263,3043
Cameroon,,119322,1926
Canada,Alberta,529736,3986
Canada,British Columbia,351415,2929
Canada,Diamond Princess,0,1
Canada,Grand Princess,13,0
Canada,Manitoba,132295,1703
Canada,New Brunswick,40654,313
Canada,Newfoundland and Labrador,28103,72
Canada,Northwest Territories,9400,20
Canada,Nova Scotia,47089,212
Canada,Nunavut,3200,5
Canada,Ontario,1131621,12667
Canada,Prince Edward Island,18905,16
Canada,Quebec,932174,14126
Canada,Repatriated Travellers,13,0
Canada,Saskatchewan,128289,1135
Canada,Yukon,3533,22
Central African Republic,,14320,113
Chad,,7260,190
Chile,Antofagasta,116482,1418
Chile,Araucania,195467,1803
Chile,Arica y Parinacota,53311,647
Chile,Atacama,60258,430
Chile,Aysen,22406,135
Chile,Biobio,312257,3257
Chile,Coquimbo,113030,1278
Chile,Los Lagos,178265,1758
Chile,Los Rios,97221,878
Chile,Magallanes,47659,575
Chile,Maule,210471,2119
Chile,Metropolitana,1250345,21370
Chile,Nuble,88290,791
Chile,OHiggins,133410,1790
Chile,Tarapaca,77541,950
Chile,Unknown,43,0
Chile,Valparaiso,274337,4084
China,Anhui,1013,6
China,Beijing,1583,9
China,Chongqing,624,6
China,Fujian,1590,1
China,Gansu,407,2
China,Guangdong,5558,8
China,Guangxi,1237,2
China,Guizhou,162,2
China,Hainan,193,6
China,Hebei,1536,7
China,Heilongjiang,2098,13
China,Henan,2699,22
China,Hong Kong,551233,2869
China,Hubei,68380,4512
China,Hunan,1235,4
China,Inner Mongolia,1662,1
China,Jiangsu,1830,0
China,Jiangxi,959,1
China,Jilin,869,3
China,Liaoning,1040,2
China,Macau,82,0
China,Ningxia,122,0
China,Qinghai,30,0
China,Shaanxi,2871,3
China,Shandong,1464,7
China,Shanghai,4677,7
China,Shanxi,295,0
China,Sichuan,1539,3
China,Tianjin,1189,3
China,Tibet,1,0
China,Unknown,0,0
China,Xinjiang,996,3
China,Yunnan,1992,2
China,Zhejiang,2299,1
Colombia,Amazonas,7552,264
Colombia,Antioquia,917041,18198
Colombia,Arauca,16254,523
Colombia,Atlantico,401757,10113
Colombia,Bolivar,196811,3236
Colombia,Boyaca,124643,2773
Colombia,Caldas,116781,2521
Colombia,Capital District,1761354,29218
Colombia,Caqueta,24865,1015
Colombia,Casanare,41534,994
Colombia,Cauca,72082,1783
Colombia,Cesar,106259,2665
Colombia,Choco,18575,426
Colombia,Cordoba,118866,3924
Colombia,Cundinamarca,317322,7247
Colombia,Guainia,2753,37
Colombia,Guaviare,5582,105
Colombia,Huila,100153,3490
Colombia,La Guajira,56195,1519
Colombia,Magdalena,114668,3619
Colombia,Meta,104793,2529
Colombia,Narino,104349,3297
Colombia,Norte de Santander,119398,5061
Colombia,Putumayo,20456,769
